priority_rank,priority_score,school,focus_track,focus_rows,missing_total,max_missing_in_row,rows_with_note_in_name,rows_not_marked_latest,sample_to_verify,official_guide_link,suggested_action
53,38,津田塾大学,mixed,4,8,7,0,0,津田塾大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 学芸学部 -> 第二次选考/校内考/面试 内容 || 情報科学科 -> no_key_missing,https://www.tsuda.ac.jp/admissions/ug-others/ug-special.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
54,38,関西学院大学,mixed,16,8,7,0,0,関西学院大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 関西学院大学建築学部建築学科 -> 第二次选考/校内考/面试 内容 || 関西学院大学工学科 -> no_key_missing,https://ciec.kwansei.ac.jp/page/examination-department.html?_ga=2.166281534.1605252297.1649808092-338828537.1647739860&_gl=1*3aiowk*_gcl_au*NzE1MDg0Mzg3LjE3MTQ2NTA2MDI.*_ga*MTM3MDUyMTc0LjE3MTQ2NTA2MDI.*_ga_6RKBB1G5Y1*MTcxNDY1MDYwMi4xLjEuMTcxNDY1MDY4Ny40OC4wLjA.,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
55,38,立教大学,mixed,9,7,6,2,1,立教大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 立教大学理学部 -> EJU必要科目 || 立教大学理学部化学科 -> no_key_missing,https://www.rikkyo.ac.jp/admissions/undergraduate/foreigner.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
56,36,北見工業大学,mixed,3,8,6,0,0,北見工業大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 北見工業大学地域未来デザイン工学科 -> 第二次选考/校内考/面试 内容 || 北見工業大学地球環境工学科 -> 第二次选考/校内考/面试 内容,https://www.kitami-it.ac.jp/info/faculty/bosyuyoko/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
57,36,横浜市立大学,mixed,3,8,6,0,0,横浜市立大学 -> 具体学部PDF | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 横浜市立大学データサイエンス学部 -> 第二次选考/校内考/面试 内容 || 横浜市立大学理学部 -> 第二次选考/校内考/面试 内容,https://www.yokohama-cu.ac.jp/admissions/admissions/special_selection/international_students/index.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
58,36,三条市立大学,mixed,1,7,7,0,1,三条市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
59,36,三重県立看護大学,mixed,1,7,7,0,1,三重県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://无法访问此网站,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
60,36,下関市立大学,mixed,1,7,7,0,1,下関市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ　https://www.shimonoseki-cu.ac.jp/nyushi/admiss_info/info_yoko,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
61,36,二松學舍大学,mixed,1,7,7,0,1,二松學舍大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
62,36,亜細亜大学,mixed,1,7,7,0,1,亜細亜大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
63,36,京都外国語大学,mixed,1,7,7,0,1,京都外国語大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
64,36,京都市立芸術大学,mixed,1,7,7,0,1,京都市立芸術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
65,36,京都府立医科大学,mixed,1,7,7,0,1,京都府立医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
66,36,会津大学,mixed,1,7,7,0,1,会津大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
67,36,佛教大学,mixed,1,7,7,0,1,佛教大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
68,36,公立函館未来大学,mixed,1,7,7,0,1,公立函館未来大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,編入学留学生特別選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
69,36,公立千歳科学技術大学,mixed,1,7,7,0,1,公立千歳科学技術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
70,36,公立小松大学,mixed,1,7,7,0,1,公立小松大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
71,36,兵庫県立大学,mixed,1,7,7,0,1,兵庫県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,郵送必要,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
72,36,北里大学,mixed,1,7,7,0,1,北里大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://外国人入試なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
73,36,千葉県立保健医療大学,mixed,1,7,7,0,1,千葉県立保健医療大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
74,36,叡啓大学,mixed,1,7,7,0,1,叡啓大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
75,36,名古屋外国語大学,mixed,1,7,7,0,1,名古屋外国語大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
76,36,名古屋学芸大学,mixed,1,7,7,0,1,名古屋学芸大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://留学生入試なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
77,36,名寄市立大学,mixed,1,7,7,0,1,名寄市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
78,36,周南公立大学,mixed,1,7,7,0,1,周南公立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,N2程度の能力、EJU＆英語不要,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
79,36,和歌山県立医科大学,mixed,1,7,7,0,1,和歌山県立医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
80,36,國學院大学,mixed,1,7,7,0,1,國學院大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
81,36,埼玉県立大学,mixed,1,7,7,0,1,埼玉県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
82,36,多摩美術大学,mixed,1,7,7,0,1,多摩美術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://芸術のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
83,36,大阪医科薬科大学,mixed,1,7,7,0,1,大阪医科薬科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
84,36,天使大学,mixed,1,7,7,0,1,天使大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般入試のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
85,36,奈良県立医科大学,mixed,1,7,7,0,1,奈良県立医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
86,36,奈良県立大学,mixed,1,7,7,0,1,奈良県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
87,36,実践女子大学,mixed,1,7,7,0,1,実践女子大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://8月に公開,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
88,36,宮崎公立大学,mixed,1,7,7,0,1,宮崎公立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
89,36,宮崎県立看護大学,mixed,1,7,7,0,1,宮崎県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生入試なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
90,36,尾道市立大学,mixed,1,7,7,0,1,尾道市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
91,36,山口県立大学,mixed,1,7,7,0,1,山口県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
92,36,山形県立保健医療大学,mixed,1,7,7,0,1,山形県立保健医療大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
93,36,山形県立米沢栄養大学,mixed,1,7,7,0,1,山形県立米沢栄養大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
94,36,山梨県立大学,mixed,1,7,7,0,1,山梨県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
95,36,岐阜県立看護大学,mixed,1,7,7,0,1,岐阜県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
96,36,岐阜薬科大学,mixed,1,7,7,0,1,岐阜薬科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
97,36,島根県立大学,mixed,1,7,7,0,1,島根県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,留学生なし,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
98,36,崇城大学,mixed,4,7,7,0,1,崇城大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容 || 工学部 -> no_key_missing || 情報学部 -> no_key_missing,https://www.sojo-u.ac.jp/nyushi/admissions/foreign/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
99,36,川崎医療福祉大学,mixed,1,7,7,0,1,川崎医療福祉大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般入試のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
100,36,川崎市立看護大学,mixed,1,7,7,0,1,川崎市立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
101,36,帯広畜産大学,mixed,1,7,7,0,1,帯広畜産大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.obihiro.ac.jp/undergrad-adm,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
102,36,愛媛県立医療技術大学,mixed,1,7,7,0,1,愛媛県立医療技術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,郵送必要,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
103,36,愛知医科大学,mixed,1,7,7,0,1,愛知医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般入試のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
104,36,愛知県立芸術大学,mixed,1,7,7,0,1,愛知県立芸術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,芸術のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
105,36,敦賀市立看護大学,mixed,1,7,7,0,1,敦賀市立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
106,36,新潟県立看護大学,mixed,1,7,7,0,1,新潟県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
107,36,新見公立大学,mixed,1,7,7,0,1,新見公立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,郵送必要,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
108,36,日本赤十字看護大学,mixed,1,7,7,0,1,日本赤十字看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
109,36,東京医科大学,mixed,1,7,7,0,1,東京医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
110,36,東京慈恵会医科大学,mixed,1,7,7,0,1,東京慈恵会医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
111,36,東京薬科大学,mixed,1,7,7,0,1,東京薬科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般入試のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
112,36,東京藝術大学,mixed,1,7,7,0,1,東京藝術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,芸術系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
113,36,桃山学院大学,mixed,1,7,7,0,1,桃山学院大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
114,36,武蔵大学,mixed,1,7,7,0,1,武蔵大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
115,36,武蔵野美術大学,mixed,1,7,7,0,1,武蔵野美術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://芸術のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
116,36,沖縄県立看護大学,mixed,1,7,7,0,1,沖縄県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.okinawa-nurs.ac.jp/nyugakuannai/pages14341/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
117,36,沖縄県立芸術大学,mixed,1,7,7,0,1,沖縄県立芸術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.okigei.ac.jp/news/n-important/%e4%bb%a4%e5%92%8c7%e5%b9%b4%e5%ba%a6%e3%80%80%e5%85%a5%e5%ad%a6%e8%80%85%e9%81%b8%e6%8a%9c%e8%a6%81%e9%a0%85%e3%82%92%e6%8e%b2%e8%bc%89.htmlimportant/%e4%bb%a4%e5%92%8c6%e5%b9%b4%e5%ba%a6%e3%80%80%e5%85%a5%e5%ad%a6%e8%80%85%e9%81%b8%e6%8a%9c%e8%a6%81%e9%a0%85%e3%82%92%e6%8e%b2%e8%bc%89.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
118,36,浜松医科大学,mixed,1,7,7,0,1,浜松医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
119,36,滋賀医科大学,mixed,1,7,7,0,1,滋賀医科大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
120,36,産業能率大学,mixed,1,7,7,0,1,産業能率大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
121,36,畿央大学,mixed,1,7,7,0,1,畿央大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,http://一般入試のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
122,36,石川県立看護大学,mixed,1,7,7,0,1,石川県立看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
123,36,神奈川県立保健福祉大学,mixed,1,7,7,0,1,神奈川県立保健福祉大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.kuhs.ac.jp/admission/undergraduate/forignstudent/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
124,36,神戸市外国語大学,mixed,1,7,7,0,1,神戸市外国語大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.kobe-cufs.ac.jp/admissions/university/requirements/senbatsu.html,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
125,36,神戸市看護大学,mixed,1,7,7,0,1,神戸市看護大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,https://www.kobe-ccn.ac.jp/entrance_examination/request/,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
126,36,福山市立大学,mixed,1,7,7,0,1,福山市立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
127,36,福岡県立大学,mixed,1,7,7,0,1,福岡県立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
128,36,福知山公立大学,mixed,1,7,7,0,1,福知山公立大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,令和7年度（2025年春入学者用）の各募集要項は準備中です。,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
129,36,秋田公立美術大学,mixed,1,7,7,0,1,秋田公立美術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,芸術のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
130,36,筑波技術大学,mixed,1,7,7,0,1,筑波技術大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
131,36,群馬県立女子大学,mixed,1,7,7,0,1,群馬県立女子大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,文系のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
132,36,群馬県立県民健康科学大学,mixed,1,7,7,0,1,群馬県立県民健康科学大学 -> 具体学部PDF | 是否招收留学生 | EJU必要科目 | 是否需要英语成绩 | 出愿开始日期 | 出愿结束日期 | 第二次选考/校内考/面试 内容,一般選抜のみ,先核对外国人留学生学部清单与文科科目要求，再补齐关键日期字段
