school,hensachi,qs,tier,source,note
HAL大阪,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
IPU環太平洋大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
お茶の水女子大学,65,800,S级,toshin_hensachi_2026,matched=お茶の水女子大学
くらしき作陽大学,48,9999,C级,toshin_hensachi_2026,matched=くらしき作陽大学
びわこ成蹊スポーツ大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
ものつくり大学,54,9999,C级,toshin_hensachi_2026,matched=ものつくり大学
グローバルBiz専門職大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
テンプル大学ジャパンキャンパス,58,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
デジタルハリウッド大学,55,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
ハリウッド大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
フェリス女学院大学,55,9999,B级,toshin_hensachi_2026,matched=フェリス女学院大学
ルーテル学院大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
レイクランド大学ジャパンキャンパス,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
一橋大学,68,400,S级,toshin_hensachi_2026,matched=一橋大学
三重大学,59,9999,B级,toshin_hensachi_2026,matched=三重大学
上智大学,67,700,S级,toshin_hensachi_2026,matched=上智大学
上武大学,54,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
上海大学東京校,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
上越教育大学,56,9999,B级,toshin_hensachi_2026,matched=上越教育大学
下関市立大学,61,9999,A级,toshin_hensachi_2026,matched=下関市立大学
中京大学,63,9999,A级,toshin_hensachi_2026,matched=中京大学
中京学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
中国学園大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
中央大学,67,800,S级,toshin_hensachi_2026,matched=中央大学
中央学院大学,52,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
中日本自動車短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
中村学園大学,50,9999,C级,toshin_hensachi_2026,matched=中村学園大学
中部大学,57,9999,B级,toshin_hensachi_2026,matched=中部大学
久留米大学,50,9999,C级,toshin_hensachi_2026,matched=久留米大学
久留米工業大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
九州ルーテル学院大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
九州共立大学,49,9999,C级,toshin_hensachi_2026,matched=九州共立大学
九州国際大学,44,9999,C级,toshin_hensachi_2026,matched=九州国際大学
九州大学,64,167,A级,toshin_hensachi_2026,matched=九州大学
九州女子大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
九州工業大学,60,9999,A级,toshin_hensachi_2026,matched=九州工業大学
九州情報大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
九州栄養福祉大学,44,9999,C级,toshin_hensachi_2026,matched=九州栄養福祉大学
九州歯科大学,58,9999,B级,toshin_hensachi_2026,matched=九州歯科大学
九州産業大学,51,9999,C级,toshin_hensachi_2026,matched=九州産業大学
九州産業大学造形短期大学部,51,9999,C级,toshin_hensachi_2026,not_found_in_toshin_keep_existing
事業創造大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
二松学舎大学,55,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
亜細亜大学,55,9999,B级,toshin_hensachi_2026,matched=亜細亜大学
京都ノートルダム女子大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
京都先端科学大学,52,9999,C级,toshin_hensachi_2026,matched=京都先端科学大学
京都光華女子大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都光華女子大学短期大学部,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都外国語大学,58,9999,B级,toshin_hensachi_2026,matched=京都外国語大学
京都大学,69,50,S级,toshin_hensachi_2026,matched=京都大学
京都女子大学,60,9999,A级,toshin_hensachi_2026,matched=京都女子大学
京都学園大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都工芸繊維大学,62,9999,A级,toshin_hensachi_2026,matched=京都工芸繊維大学
京都市立芸術大学,58,9999,B级,toshin_hensachi_2026,matched=京都市立芸術大学
京都府立大学,63,9999,A级,toshin_hensachi_2026,matched=京都府立大学
京都情報大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都橘大学,50,9999,C级,toshin_hensachi_2026,matched=京都橘大学
京都産業大学,55,9999,B级,toshin_hensachi_2026,matched=京都産業大学
京都精華大学,53,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
京都経済短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都美術工芸大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
京都芸術大学,58,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
京都薬科大学,61,9999,A级,toshin_hensachi_2026,matched=京都薬科大学
京都西山短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
京都造形芸術大学,58,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
人間環境大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
仁愛大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
今治明徳短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
仏教大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
仙台白百合女子大学,45,9999,C级,toshin_hensachi_2026,matched=仙台白百合女子大学
会津大学,59,9999,B级,toshin_hensachi_2026,matched=会津大学
佐賀大学,57,9999,B级,toshin_hensachi_2026,matched=佐賀大学
佐賀女子短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
作新学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
作陽短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
信州大学,60,9999,A级,toshin_hensachi_2026,matched=信州大学
信州豊南短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
倉敷芸術科学大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
公立はこだて未来大学,56,9999,B级,toshin_hensachi_2026,matched=公立はこだて未来大学
公立小松大学,56,9999,B级,toshin_hensachi_2026,matched=公立小松大学
公立諏訪東京理科大学,55,700,B级,toshin_hensachi_2026,matched=公立諏訪東京理科大学
公立鳥取環境大学,55,9999,B级,toshin_hensachi_2026,matched=公立鳥取環境大学
共愛学園前橋国際大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
共栄大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
共立女子大学,52,9999,C级,toshin_hensachi_2026,matched=共立女子大学
共立女子短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
兵庫大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
兵庫教育大学,57,9999,B级,toshin_hensachi_2026,matched=兵庫教育大学
兵庫県立大学,60,9999,A级,toshin_hensachi_2026,matched=兵庫県立大学
別府大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
前橋工科大学,55,9999,B级,toshin_hensachi_2026,matched=前橋工科大学
創価大学,57,9999,B级,toshin_hensachi_2026,matched=創価大学
北九州市立大学,60,9999,A级,toshin_hensachi_2026,matched=北九州市立大学
北京語言大学東京校,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
北星学園大学,55,9999,B级,toshin_hensachi_2026,matched=北星学園大学
北洋大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
北海学園大学,55,9999,B级,toshin_hensachi_2026,matched=北海学園大学
北海道医療大学,59,9999,B级,toshin_hensachi_2026,matched=北海道医療大学
北海道千歳リハビリテーション大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
北海道大学,65,173,S级,toshin_hensachi_2026,matched=北海道大学
北海道情報大学,50,9999,C级,toshin_hensachi_2026,matched=北海道情報大学
北海道教育大学,53,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
北海道科学大学,54,9999,C级,toshin_hensachi_2026,matched=北海道科学大学
北見工業大学,53,9999,C级,toshin_hensachi_2026,matched=北見工業大学
北里大学,60,9999,A级,toshin_hensachi_2026,matched=北里大学
北陸先端科学技術大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
北陸大学,44,9999,C级,toshin_hensachi_2026,matched=北陸大学
医療創生大学,44,9999,C级,toshin_hensachi_2026,matched=医療創生大学
十文字学園女子大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
千葉商科大学,55,9999,B级,toshin_hensachi_2026,matched=千葉商科大学
千葉大学,63,490,A级,toshin_hensachi_2026,matched=千葉大学
千葉工業大学,56,9999,B级,toshin_hensachi_2026,matched=千葉工業大学
千葉科学大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
南山大学,63,9999,A级,toshin_hensachi_2026,matched=南山大学
叡啓大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
吉備国際大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
同志社大学,67,800,S级,toshin_hensachi_2026,matched=同志社大学
同志社女子大学,58,9999,B级,toshin_hensachi_2026,matched=同志社女子大学
同朋大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名古屋商科大学,54,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
名古屋国際工科専門職大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名古屋外国語大学,63,9999,A级,toshin_hensachi_2026,matched=名古屋外国語大学
名古屋大学,65,152,S级,toshin_hensachi_2026,matched=名古屋大学
名古屋学院大学,54,9999,C级,toshin_hensachi_2026,matched=名古屋学院大学
名古屋工業大学,62,9999,A级,toshin_hensachi_2026,matched=名古屋工業大学
名古屋市立大学,64,9999,A级,toshin_hensachi_2026,matched=名古屋市立大学
名古屋産業大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名古屋経営短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名古屋経済大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
名古屋芸術大学,53,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
名古屋造形大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名古屋音楽大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
名城大学,57,9999,B级,toshin_hensachi_2026,matched=名城大学
名桜大学,55,9999,B级,toshin_hensachi_2026,matched=名桜大学
周南公立大学,54,9999,C级,toshin_hensachi_2026,matched=周南公立大学
和光大学,55,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
和歌山信愛短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
和歌山大学,58,9999,B级,toshin_hensachi_2026,matched=和歌山大学
和洋女子大学,53,9999,C级,toshin_hensachi_2026,matched=和洋女子大学
嘉悦大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
四国大学,46,9999,C级,toshin_hensachi_2026,matched=四国大学
四国大学短期大学部,46,9999,C级,toshin_hensachi_2026,not_found_in_toshin_keep_existing
四天王寺大学,56,9999,B级,toshin_hensachi_2026,matched=四天王寺大学
四日市大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
国士舘大学,55,9999,B级,toshin_hensachi_2026,matched=国士舘大学
国学院大学,62,9999,A级,toshin_hensachi_2026,matched=國學院大学
国立音楽大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
国際ファッション専門職大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
国際医療福祉大学,58,9999,B级,toshin_hensachi_2026,matched=国際医療福祉大学
国際基督教大学,70,800,S级,toshin_hensachi_2026,matched=国際基督教大学
国際教養大学,63,9999,A级,dynamic_cache,not_found_in_toshin_keep_existing
国際武道大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
国際短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
園田学園女子大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
城西国際大学,52,9999,C级,toshin_hensachi_2026,matched=城西国際大学
城西大学,50,9999,C级,toshin_hensachi_2026,matched=城西大学
城西短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
埼玉大学,62,9999,A级,toshin_hensachi_2026,matched=埼玉大学
埼玉女子短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
埼玉工業大学,53,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
多摩大学,54,9999,C级,toshin_hensachi_2026,matched=多摩大学
多摩美術大学,56,9999,B级,toshin_hensachi_2026,matched=多摩美術大学
大分大学,56,9999,B级,toshin_hensachi_2026,matched=大分大学
大原大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大同大学,56,9999,B级,toshin_hensachi_2026,matched=大同大学
大和大学,54,9999,C级,toshin_hensachi_2026,matched=大和大学
大妻女子大学,57,9999,B级,toshin_hensachi_2026,matched=大妻女子大学
大手前大学,55,9999,B级,toshin_hensachi_2026,matched=大手前大学
大手前短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大東文化大学,54,9999,C级,toshin_hensachi_2026,matched=大東文化大学
大正大学,56,9999,B级,toshin_hensachi_2026,matched=大正大学
大阪キリスト教短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪体育大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪公立大学,63,9999,A级,toshin_hensachi_2026,matched=大阪公立大学
大阪医科薬科大学,58,9999,B级,toshin_hensachi_2026,matched=大阪医科薬科大学
大阪商業大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪国際大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪国際大学短期大学部,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪夕陽丘学園短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪大学,66,86,S级,toshin_hensachi_2026,matched=大阪大学
大阪大谷大学,54,9999,C级,toshin_hensachi_2026,matched=大阪大谷大学
大阪女学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪女学院短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪工業大学,54,9999,C级,toshin_hensachi_2026,matched=大阪工業大学
大阪成蹊短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪教育大学,59,9999,B级,toshin_hensachi_2026,matched=大阪教育大学
大阪樟蔭女子大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪歯科大学,65,9999,S级,toshin_hensachi_2026,matched=大阪歯科大学
大阪産業大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪経済大学,56,9999,B级,toshin_hensachi_2026,matched=大阪経済大学
大阪経済法科大学,55,9999,B级,toshin_hensachi_2026,matched=大阪経済法科大学
大阪芸術大学,54,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪芸術大学短期大学部,54,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪観光大学,52,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
大阪音楽大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
大阪音楽大学短期大学部,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
天理大学,53,9999,C级,toshin_hensachi_2026,matched=天理大学
太成学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
奈良先端科学技術大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
奈良大学,52,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
奈良女子大学,62,9999,A级,toshin_hensachi_2026,matched=奈良女子大学
奈良教育大学,58,9999,B级,toshin_hensachi_2026,matched=奈良教育大学
女子栄養大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
女子美術大学,57,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
女子美術大学短期大学部,57,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
姫路独協大学,57,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
学習院大学,64,1000,A级,toshin_hensachi_2026,matched=学習院大学
学習院女子大学,60,9999,A级,dynamic_cache,not_found_in_toshin_keep_existing
宇部フロンティア大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
宇都宮共和大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
宇都宮大学,58,9999,B级,toshin_hensachi_2026,matched=宇都宮大学
安田女子大学,52,9999,C级,toshin_hensachi_2026,matched=安田女子大学
宝塚医療大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
宝塚大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
室蘭工業大学,52,9999,C级,toshin_hensachi_2026,matched=室蘭工業大学
宮城大学,56,9999,B级,toshin_hensachi_2026,matched=宮城大学
宮城学院女子大学,51,9999,C级,toshin_hensachi_2026,matched=宮城学院女子大学
宮崎公立大学,58,9999,B级,toshin_hensachi_2026,matched=宮崎公立大学
宮崎国際大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
宮崎大学,56,9999,B级,toshin_hensachi_2026,matched=宮崎大学
富士大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
富山国際大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
富山大学,58,9999,B级,toshin_hensachi_2026,matched=富山大学
富山県立大学,56,9999,B级,toshin_hensachi_2026,matched=富山県立大学
専修大学,60,9999,A级,toshin_hensachi_2026,matched=専修大学
小樽商科大学,59,9999,B级,toshin_hensachi_2026,matched=小樽商科大学
尚絅学院大学,52,9999,C级,toshin_hensachi_2026,matched=尚絅学院大学
尚美学園大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
就実大学,54,9999,C级,toshin_hensachi_2026,matched=就実大学
尾道市立大学,57,9999,B级,toshin_hensachi_2026,matched=尾道市立大学
山口大学,57,9999,B级,toshin_hensachi_2026,matched=山口大学
山口東京理科大学,60,700,A级,fallback_non_toshin,not_found_in_toshin_keep_existing
山口県立大学,58,9999,B级,toshin_hensachi_2026,matched=山口県立大学
山形大学,56,9999,B级,toshin_hensachi_2026,matched=山形大学
山梨大学,58,9999,B级,toshin_hensachi_2026,matched=山梨大学
山梨学院大学,48,9999,C级,toshin_hensachi_2026,matched=山梨学院大学
山梨県立大学,60,9999,A级,toshin_hensachi_2026,matched=山梨県立大学
山梨英和大学,44,9999,C级,toshin_hensachi_2026,matched=山梨英和大学
山野美容芸術短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
山陽学園大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
山陽小野田市立山口東京理科大学,64,700,A级,toshin_hensachi_2026,matched=山陽小野田市立山口東京理科大学
岐阜協立大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
岐阜大学,60,9999,A级,toshin_hensachi_2026,matched=岐阜大学
岐阜経済大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
岐阜聖徳学園大学,55,9999,B级,toshin_hensachi_2026,matched=岐阜聖徳学園大学
岡山商科大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
岡山大学,61,600,A级,toshin_hensachi_2026,matched=岡山大学
岡山理科大学,52,9999,C级,toshin_hensachi_2026,matched=岡山理科大学
岡山県立大学,56,9999,B级,toshin_hensachi_2026,matched=岡山県立大学
岩手大学,57,9999,B级,toshin_hensachi_2026,matched=岩手大学
島根大学,57,9999,B级,toshin_hensachi_2026,matched=島根大学
崇城大学,58,9999,B级,toshin_hensachi_2026,matched=崇城大学
嵯峨美術大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
工学院大学,63,9999,A级,toshin_hensachi_2026,matched=工学院大学
帝京大学,56,9999,B级,toshin_hensachi_2026,matched=帝京大学
帝京平成大学,53,9999,C级,toshin_hensachi_2026,matched=帝京平成大学
帝京科学大学,58,9999,B级,toshin_hensachi_2026,matched=帝京科学大学
帝塚山大学,52,9999,C级,toshin_hensachi_2026,matched=帝塚山大学
帯広畜産大学,61,9999,A级,toshin_hensachi_2026,matched=帯広畜産大学
常磐大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
常葉大学,56,9999,B级,toshin_hensachi_2026,matched=常葉大学
平安女学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
平成国際大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
平成音楽大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
広島修道大学,53,9999,C级,toshin_hensachi_2026,matched=広島修道大学
広島国際大学,54,9999,C级,toshin_hensachi_2026,matched=広島国際大学
広島国際学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
広島大学,62,500,A级,toshin_hensachi_2026,matched=広島大学
広島女学院大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
広島工業大学,54,9999,C级,toshin_hensachi_2026,matched=広島工業大学
広島市立大学,58,9999,B级,toshin_hensachi_2026,matched=広島市立大学
広島経済大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
弘前大学,56,9999,B级,toshin_hensachi_2026,matched=弘前大学
弘前学院大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
徳山大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
徳島大学,60,9999,A级,toshin_hensachi_2026,matched=徳島大学
徳島工業短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
徳島文理大学,44,9999,C级,toshin_hensachi_2026,matched=徳島文理大学
志学館大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
恵泉女学園大学,55,9999,B级,dynamic_cache,not_found_in_toshin_keep_existing
情報セキュリティ大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
情報科学芸術大学院大学,53,9999,C级,fallback_group,not_found_in_toshin_keep_existing
情報経営イノベーション専門職大学,53,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
愛国学園大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
愛媛大学,58,9999,B级,toshin_hensachi_2026,matched=愛媛大学
愛知大学,58,9999,B级,toshin_hensachi_2026,matched=愛知大学
愛知学院大学,53,9999,C级,toshin_hensachi_2026,matched=愛知学院大学
愛知工科大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
愛知工科大学自動車短期大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
愛知教育大学,57,9999,B级,toshin_hensachi_2026,matched=愛知教育大学
愛知東邦大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
愛知産業大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
愛知県立大学,60,9999,A级,toshin_hensachi_2026,matched=愛知県立大学
愛知県立芸術大学,56,9999,B级,toshin_hensachi_2026,matched=愛知県立芸術大学
慶應義塾大学,71,188,S级,toshin_hensachi_2026,matched=慶應義塾大学
成城大学,61,9999,A级,toshin_hensachi_2026,matched=成城大学
成安造形大学,51,9999,C级,dynamic_cache,not_found_in_toshin_keep_existing
成蹊大学,64,9999,A级,toshin_hensachi_2026,matched=成蹊大学
戸板女子短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
折尾愛真短期大学,52,9999,C级,fallback_group,not_found_in_toshin_keep_existing
